Date,altcoin_dollar_oi
29-04-2022,3475001986.7040606
30-04-2022,3086287882.608878
01-05-2022,3134868750.941629
02-05-2022,3122360177.146602
03-05-2022,3106202030.000638
04-05-2022,3447983862.6553645
05-05-2022,3003362666.8028345
06-05-2022,3038516266.843978
07-05-2022,2935901775.4913425
08-05-2022,2988528549.4509788
09-05-2022,2252368710.643167
10-05-2022,2212121431.4438853
11-05-2022,1693511030.9041877
12-05-2022,1525218416.8135962
13-05-2022,1655711691.6903963
14-05-2022,1780664950.614173
15-05-2022,1951209087.6103604
16-05-2022,1822625944.4521453
17-05-2022,2005404580.3135104
18-05-2022,1909056244.7570937
19-05-2022,2025765940.4353013
20-05-2022,1963362743.7938118
21-05-2022,2097046461.6061585
22-05-2022,2194239838.136981
23-05-2022,2097562331.774959
24-05-2022,2161906850.453396
25-05-2022,2205898686.5152335
26-05-2022,2041406838.7957156
27-05-2022,2011175109.2663195
28-05-2022,2135048367.4804268
29-05-2022,2210979532.1173267
30-05-2022,2324730897.4686337
31-05-2022,2264635124.4815283
01-06-2022,2093710812.8879933
02-06-2022,2165407712.6636925
03-06-2022,2159668154.127263
04-06-2022,2189062617.968415
05-06-2022,2194585213.9320054
06-06-2022,2304567032.0309553
07-06-2022,2214100371.7667985
08-06-2022,2123707683.9538598
09-06-2022,2174542566.9212313
10-06-2022,2078536531.226016
11-06-2022,1956863551.9866722
12-06-2022,1810279744.389904
13-06-2022,1718941894.0618405
14-06-2022,1694016836.1360588
15-06-2022,1841179249.010012
16-06-2022,1638791113.6013908
17-06-2022,1698912919.5393963
18-06-2022,1636247358.7697792
19-06-2022,1764444562.237265
20-06-2022,1770494920.3353214
21-06-2022,1770190408.9634564
22-06-2022,1679567666.971174
23-06-2022,1850507948.7334054
24-06-2022,1961783557.6288228
25-06-2022,1982552220.5980701
26-06-2022,1824687236.9130883
27-06-2022,1837624290.2897587
28-06-2022,1774591308.8556614
29-06-2022,1757686526.6357172
30-06-2022,1733421751.349886
01-07-2022,1707437200.5547094
02-07-2022,1760947289.1221156
03-07-2022,1776664742.2106476
04-07-2022,1928829347.9485383
05-07-2022,1864182348.1602392
06-07-2022,1960667599.3765166
07-07-2022,2058876396.2231402
08-07-2022,1969351585.1356907
09-07-2022,2053831820.7311606
10-07-2022,1924476703.3879519
11-07-2022,1797796875.8618515
12-07-2022,1782979279.0600166
13-07-2022,1858085527.9253147
14-07-2022,1917585985.5821517
15-07-2022,1898511445.4647245
16-07-2022,2034014516.4315157
17-07-2022,1982220871.9544067
18-07-2022,2184706282.200818
19-07-2022,2190839586.740511
20-07-2022,2001754006.3148727
21-07-2022,2122816910.2220426
22-07-2022,2045932061.3420064
23-07-2022,2094900593.9920409
24-07-2022,2112787764.2421696
