Date,Value
20-06-2022,18.96551724137931
21-06-2022,17.24137931034483
22-06-2022,17.24137931034483
23-06-2022,20.689655172413794
24-06-2022,22.413793103448278
25-06-2022,19.82758620689655
26-06-2022,20.689655172413794
27-06-2022,18.96551724137931
28-06-2022,13.793103448275861
29-06-2022,14.655172413793101
30-06-2022,13.793103448275861
01-07-2022,12.068965517241379
02-07-2022,11.206896551724139
03-07-2022,13.793103448275861
04-07-2022,13.793103448275861
05-07-2022,17.24137931034483
06-07-2022,14.655172413793101
07-07-2022,15.384615384615385
08-07-2022,13.675213675213676
09-07-2022,15.384615384615385
10-07-2022,17.094017094017094
11-07-2022,13.675213675213676
12-07-2022,13.675213675213676
13-07-2022,14.529914529914532
14-07-2022,15.384615384615385
15-07-2022,13.675213675213676
16-07-2022,17.94871794871795
17-07-2022,16.23931623931624
18-07-2022,14.529914529914532
19-07-2022,11.864406779661017
20-07-2022,11.016949152542372
21-07-2022,11.864406779661017
22-07-2022,11.016949152542372
23-07-2022,13.559322033898304
24-07-2022,14.40677966101695
25-07-2022,14.40677966101695
26-07-2022,16.94915254237288
27-07-2022,17.796610169491526
28-07-2022,23.52941176470588
29-07-2022,42.016806722689076
30-07-2022,35.294117647058826
31-07-2022,43.69747899159664
01-08-2022,42.857142857142854
02-08-2022,26.89075630252101
03-08-2022,34.45378151260504
04-08-2022,42.016806722689076
05-08-2022,52.94117647058824
06-08-2022,48.739495798319325
07-08-2022,66.38655462184873
08-08-2022,65.54621848739495
09-08-2022,89.91596638655463
10-08-2022,94.9579831932773
11-08-2022,88.23529411764706
12-08-2022,86.5546218487395
13-08-2022,83.19327731092437
14-08-2022,84.87394957983193
15-08-2022,81.5126050420168
16-08-2022,86.5546218487395
17-08-2022,84.87394957983193
18-08-2022,81.5126050420168
19-08-2022,75.63025210084034
20-08-2022,73.94957983193278
21-08-2022,74.78991596638656
22-08-2022,74.78991596638656
23-08-2022,83.19327731092437
24-08-2022,93.27731092436974
25-08-2022,94.11764705882352
26-08-2022,90.75630252100841
27-08-2022,89.07563025210085
28-08-2022,84.03361344537815
29-08-2022,84.87394957983193
30-08-2022,89.16666666666667
31-08-2022,89.16666666666667
01-09-2022,89.16666666666667
02-09-2022,90.83333333333333
03-09-2022,89.16666666666667
04-09-2022,90.83333333333333
05-09-2022,92.5
06-09-2022,89.16666666666667
07-09-2022,89.16666666666667
08-09-2022,92.5
09-09-2022,92.5
10-09-2022,93.33333333333333
11-09-2022,84.16666666666667
12-09-2022,77.5
13-09-2022,65.0
14-09-2022,75.83333333333333
15-09-2022,66.66666666666666
16-09-2022,61.66666666666667
17-09-2022,66.66666666666666
18-09-2022,48.333333333333336
19-09-2022,45.0
20-09-2022,52.5
21-09-2022,46.666666666666664
22-09-2022,38.333333333333336
23-09-2022,42.5
24-09-2022,50.83333333333333
25-09-2022,44.166666666666664
26-09-2022,51.66666666666667
27-09-2022,49.166666666666664
28-09-2022,51.66666666666667
29-09-2022,49.166666666666664
30-09-2022,45.83333333333333
01-10-2022,45.83333333333333
02-10-2022,45.0
03-10-2022,48.333333333333336
04-10-2022,45.0
05-10-2022,47.5
06-10-2022,47.5
07-10-2022,43.333333333333336
08-10-2022,45.0
09-10-2022,59.166666666666664
10-10-2022,50.83333333333333
11-10-2022,47.5
12-10-2022,40.0
13-10-2022,37.5
14-10-2022,35.833333333333336
15-10-2022,34.166666666666664
16-10-2022,35.0
17-10-2022,38.333333333333336
18-10-2022,47.5
19-10-2022,38.333333333333336
20-10-2022,38.333333333333336
21-10-2022,35.0
22-10-2022,33.33333333333333
23-10-2022,44.166666666666664
24-10-2022,41.66666666666667
25-10-2022,40.0
26-10-2022,29.166666666666668
27-10-2022,28.333333333333332
28-10-2022,25.0
29-10-2022,27.500000000000004
30-10-2022,20.0
31-10-2022,27.500000000000004
01-11-2022,22.5
02-11-2022,20.0
03-11-2022,26.666666666666668
04-11-2022,25.0
05-11-2022,23.333333333333332
06-11-2022,22.5
07-11-2022,25.833333333333336
08-11-2022,18.333333333333332
09-11-2022,14.166666666666666
10-11-2022,19.166666666666668
11-11-2022,21.666666666666668
12-11-2022,19.166666666666668
13-11-2022,20.833333333333336
14-11-2022,20.833333333333336
15-11-2022,22.31404958677686
16-11-2022,25.6198347107438
17-11-2022,21.487603305785125
